epoch,accuracy,loss,val_accuracy,val_loss
0,0.8252406120300293,0.4644149839878082,0.8465246558189392,0.39707598090171814
1,0.8484199643135071,0.394392192363739,0.8554853200912476,0.3731473386287689
2,0.8524454236030579,0.3817414343357086,0.8554577231407166,0.3733215630054474
3,0.8543374538421631,0.37593504786491394,0.8582516312599182,0.36737191677093506
4,0.8558332324028015,0.37218472361564636,0.8546857237815857,0.3687118887901306
5,0.856488049030304,0.36943164467811584,0.8562067747116089,0.36632922291755676
6,0.8566431403160095,0.3678719401359558,0.8595428466796875,0.36268350481987
7,0.8573691844940186,0.3666249215602875,0.8586835861206055,0.3638218641281128
8,0.8574358224868774,0.36564818024635315,0.8574152588844299,0.36410096287727356
9,0.8576735854148865,0.3649977743625641,0.8587754964828491,0.3641585111618042
