epoch,accuracy,loss,val_accuracy,val_loss
0,0.9857538938522339,0.03820357844233513,0.9887329339981079,0.029479486867785454
1,0.9882342219352722,0.031140152364969254,0.9890128374099731,0.029056241735816002
2,0.9884395599365234,0.030687829479575157,0.9892112612724304,0.02826019749045372
3,0.9884780049324036,0.03049302287399769,0.9892666339874268,0.028378665447235107
4,0.9883361458778381,0.030954450368881226,0.9892973899841309,0.027980845421552658
5,0.9883065223693848,0.031171204522252083,0.9892758131027222,0.02886861376464367
6,0.9881819486618042,0.03134521469473839,0.9890866875648499,0.028678350150585175
7,0.9878747463226318,0.03218497335910797,0.9890220761299133,0.0290878564119339
8,0.9877740144729614,0.032548997551202774,0.9885053038597107,0.030439944937825203
9,0.987417995929718,0.033734675496816635,0.9883192181587219,0.030979758128523827
