epoch,accuracy,loss,val_accuracy,val_loss
0,0.9812369346618652,0.051158562302589417,0.9835392832756042,0.04399006813764572
1,0.9840902090072632,0.043064363300800323,0.9844635725021362,0.04101582616567612
2,0.9848119020462036,0.0414009690284729,0.9846727252006531,0.040193427354097366
3,0.9850737452507019,0.040771570056676865,0.9853171706199646,0.039611879736185074
4,0.9851840734481812,0.04029381275177002,0.9854739904403687,0.039237603545188904
5,0.9852540493011475,0.04027903079986572,0.9855431914329529,0.03916814178228378
6,0.9852344393730164,0.040111321955919266,0.9849495887756348,0.04022817313671112
7,0.9852513670921326,0.040348391979932785,0.9855170845985413,0.03955264762043953
8,0.9853302240371704,0.04019881784915924,0.9840575456619263,0.041385237127542496
9,0.9853440523147583,0.04034137353301048,0.9854309558868408,0.039463579654693604
